Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
A0A087WZ13	Ribonucleoprotein PTB-binding 1	RAVER1	A0A087WZ13;E9PAU2;Q8IY67-2;K7EKR9;Q8IY67-3	Ribonucleoprotein PTB-binding 1	RAVER1
A0A087WZ32	Pleckstrin homology domain-containing family A member 2	PLEKHA2	A0A087WZ32;A8K727;Q9HB19;A0A087X038;E5RGP3;E5RHB5	Pleckstrin homology domain-containing family A member 2	PLEKHA2
A0A087WZ50	Signal peptide peptidase-like 2B	SPPL2B	A0A087WZ50;A0A087WWL4;A0A087WZ93;Q8TCT7-2;Q8TCT7-4;Q8TCT7	Signal peptide peptidase-like 2B	SPPL2B
A0A087WZ62	Alpha-1,2-mannosyltransferase ALG9	ALG9	A0A087WZ62;Q9H6U8;Q9H6U8-3;Q9H6U8-2;Q9H6U8-4;H0YCW6;A0A087WZY8;A0A087WV58;A0A087WVC0;A0A087WTZ3	Alpha-1,2-mannosyltransferase ALG9	ALG9
A0A2R8Y7R8	Ribonuclease H2 subunit B	RNASEH2B	A0A2R8Y7R8;Q5TBB1;A0A2R8Y6Y1;A0A2R8YGP2;A0A2R8YCJ4;A0A087WZJ6;A0A2R8Y761;A0A2R8YCX2;A0A2R8Y6M7;A0A2R8YEH2;A0A087WXR7;A0A2R8Y883;Q5TBB1-2;A0A2R8YCP1;A0A2R8Y687;A0A2R8Y4S2;A0A2R8YE60;A0A2R8YEC1;A0A2R8Y459;A0A2R8YEU9;A0A2R8YEB4;A0A2R8Y4Y9;A0A2R8YEQ4;A0A2R8YEK5;A0A2R8Y7A3	Ribonuclease H2 subunit B	RNASEH2B
D6RHI9	Ribonuclease T2	RNASET2	D6RHI9;A0A087WZM2;O00584;D6REQ6;H0YAE9;A0A087WWI1;O00584-2;J3QQ64	Ribonuclease T2	RNASET2
A0A087WZM8	Transmembrane protein 254	TMEM254	A0A087WZM8;Q8TBM7-2;Q8TBM7-3;Q8TBM7	Transmembrane protein 254	TMEM254
A0A087WZN1	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	IDH3B	A0A087WZN1;O43837;A0A087X2E5;O43837-2;O43837-3;A0A0D9SG66	Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	IDH3B
A0A087WZT2	Methyltransferase-like protein 7B	METTL7B	A0A087WZT2;Q6UX53	Methyltransferase-like protein 7B	METTL7B
O43657	Tetraspanin-6	TSPAN6	O43657;A0A087WZU5;A0A087WYV6	Tetraspanin-6	TSPAN6
A0A087WZV0	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2	A0A087WZV0;O43314-2;O43314;H0Y9S9;D6RBU4;A0A087WWN8	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2
J3KPF9	Kinesin-like protein	KIF3A	J3KPF9;A0A087X011;E9PES4;Q9Y496;C9J9X2;H7C2F6	Kinesin-like protein;Kinesin-like protein KIF3A	KIF3A
Q9Y3A5	Ribosome maturation protein SBDS	SBDS	Q9Y3A5;A0A087X020;F8WE72	Ribosome maturation protein SBDS	SBDS
A0A087X0D5	Pro-cathepsin H	CTSH	A0A087X0D5;P09668;E9PKT6;A0A3B3IRM7	Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain	CTSH
A0A087X0H8	TSC22 domain family protein 1	TSC22D1	A0A087X0H8;Q15714-2;Q15714-3;Q15714;H0Y865	TSC22 domain family protein 1	TSC22D1;TSC22D2
A0A087X0H9	RNA-binding protein 26	RBM26	A0A087X0H9;Q5T8P6-3;Q5T8P6-2;Q5T8P6;Q5T8P6-5;Q5T8P6-4;Q5T8P6-6;E2PSN0	RNA-binding protein 26	RBM26
A0A087X0K0	Collagen alpha-1(XV) chain	COL15A1	A0A087X0K0;P39059	Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4	COL15A1
A0A087X0L7	Mitochondrial inner membrane protein OXA1L	OXA1L	A0A087X0L7;J3KNA0;Q15070-2;Q15070;E7EVY0;C9JC63;Q15070-3	Mitochondrial inner membrane protein OXA1L	OXA1L
A0A087X0M4	Kanadaptin	SLC4A1AP	A0A087X0M4;Q9BWU0;A0A087WWF4;H7C256	Kanadaptin	SLC4A1AP
A0A3B3ISI6	Leptin receptor gene-related protein	LEPROT	A0A3B3ISI6;A0A087X0N2;O15243	Leptin receptor gene-related protein	LEPROT
A0A087X0Q9	Selenoprotein O	SELO	A0A087X0Q9;Q9BVL4	Selenoprotein O	SELO
A0A087X0R6	Sorting nexin-12	SNX12	A0A087X0R6;Q9UMY4-2;Q9UMY4;Q9UMY4-3	Sorting nexin-12	SNX12
A0A087X0T2	Carcinoembryonic antigen-related cell adhesion molecule 20	CEACAM20	A0A087X0T2;Q6UY09-2;Q6UY09-5;Q6UY09;Q6UY09-4;Q6UY09-3	Carcinoembryonic antigen-related cell adhesion molecule 20	CEACAM20
A0A087X0V5	2-5-oligoadenylate synthase 2	OAS2	A0A087X0V5;P29728-2;P29728;F8W1C5;P29728-3	2-5-oligoadenylate synthase 2	OAS2
A0A087X0W9	OTU domain-containing protein 6B	OTUD6B	A0A087X0W9;Q8N6M0;Q8N6M0-2;A0A0C4DH76	OTU domain-containing protein 6B	OTUD6B
A0A087X0Y7	B-cell differentiation antigen CD72	CD72	A0A087X0Y7;P21854	B-cell differentiation antigen CD72	CD72
A0A0G2JN29	Nodal modulator 1	NOMO1	A0A0G2JN29;A0A087X117;Q15155;A0A0G2JP90;A0A087WW46;H3BUC9;H3BPS9;I3L0Q6;H3BTW1	Nodal modulator 1	NOMO1
A0A087X165	SRC kinase signaling inhibitor 1	SRCIN1	A0A087X165;Q9C0H9;A0A087WVV7;Q9C0H9-2;A0A087WU33;Q9C0H9-4	SRC kinase signaling inhibitor 1	SRCIN1
A0A087X188	Bridging integrator 2	BIN2	A0A087X188;Q9UBW5;A0A0A0MT10;Q9UBW5-2;Q9UBW5-3;S4R418;S4R3J0;P49418-2;P49418	Bridging integrator 2	BIN2
A0A087X191	Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe	LFNG	A0A087X191;Q8NES3-2;Q8NES3-4;Q8NES3;Q8NES3-3	Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe	LFNG
A0A0G2JL27	Tripartite motif-containing protein 15	TRIM15	A0A0G2JL27;A0A087X199;A0A0G2JJP1;Q9C019;H0Y5R0	Tripartite motif-containing protein 15	TRIM15
A0A087X1E4	Arfaptin-2	ARFIP2	A0A087X1E4;P53365-3;P53365;P53365-2;E9PRV8;E9PPY7	Arfaptin-2	ARFIP2
A0A087X1G7	15 kDa selenoprotein	45915	A0A087X1G7;O60613;A0A3B3IT39;A0A0J9YX89;A0A087WXL0;A0A0B4J1T0;A8MZD0;O60613-2	15 kDa selenoprotein	Sep-15
A0A087X1J7	Glutathione peroxidase	GPX3	A0A087X1J7;P22352;H0YBE4;E5RG32;H0YC19	Glutathione peroxidase;Glutathione peroxidase 3	GPX3
A0A087X1S7	CD48 antigen	CD48	A0A087X1S7;P09326;P09326-2	CD48 antigen	CD48
A0A087X1W8	Cell adhesion molecule 1	CADM1	A0A087X1W8;A0A0A0MTJ8;X5DQS5;Q9BY67-5;Q9BY67;Q9BY67-4;Q9BY67-3;A0A087X0T8;Q9BY67-2;F5H125;H0YG94;F5H8J9	Cell adhesion molecule 1	CADM1
A0A087X1X7	A0A087X1X7	EEF1D	A0A087X1X7;H0YCK7;E9PIZ1;E9PQC9;E9PJ84;E9PPY1;E9PQR8;E9PRL0;E9PN71;E9PN56;E9PJV8;E9PNC8;E9PIP5;E9PL21;E9PKH7;E9PLA1;E9PLT8;E9PM66;E9PI93;E9PLL8		EEF1D
A0A087X1Z3	Proteasome activator complex subunit 2	PSME2	A0A087X1Z3;Q9UL46;H0YM70;H0YKU2	Proteasome activator complex subunit 2	PSME2
A0A087X256	WASH complex subunit 7	KIAA1033	A0A087X256;Q2M389;Q2M389-2;F8W1W1;F8VYH7;F8VNZ5	WASH complex subunit 7	KIAA1033
A0A087X279	Interferon-induced protein with tetratricopeptide repeats 2	IFIT2	A0A087X279;P09913	Interferon-induced protein with tetratricopeptide repeats 2	IFIT2
A0A087X283	Ubiquitin-conjugating enzyme E2 E1	UBE2E2	A0A087X283;C9J2P0;H7C061;B7Z306;R4GND1;A0A1B0GX65;P51965-2;P51965-3;P51965;Q96LR5;Q969T4;R4GN77;C9J180	Ubiquitin-conjugating enzyme E2 E1;Ubiquitin-conjugating enzyme E2 E2;Ubiquitin-conjugating enzyme E2 E3	UBE2E2;UBE2E1;UBE2E3
A0A087X294	Non-specific serine/threonine protein kinase	PAK3	A0A087X294;O75914-2;O75914;O75914-4;O75914-3;B1AKS5	Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase PAK 3	PAK3
E9PDU5	WD repeat-containing protein 6	WDR6	E9PDU5;A0A087X295;Q9NNW5;E9PBK6;C9K020;Q6PKC6;C9JFP6;V9GYU1;V9GZ65	WD repeat-containing protein 6	WDR6
A0A087X296	Prostaglandin G/H synthase 1	PTGS1	A0A087X296;P23219-4;P23219-3;P23219-2;P23219;P23219-6;P23219-5;A0A2R8YDM0;X6RJD6;P35354	Prostaglandin G/H synthase 1	PTGS1
A0A087X2D5	39S ribosomal protein L45, mitochondrial	MRPL45	A0A087X2D5;Q9BRJ2;A0A0G2JMS5;A0A087WU62	39S ribosomal protein L45, mitochondrial	MRPL45
A0A087X2I1	26S protease regulatory subunit 10B	PSMC6	A0A087X2I1;P62333;H0YJC0;H0YJS8;H0YJX2;H0YJE9;H0YJT1	26S protease regulatory subunit 10B	PSMC6
A0A088AWN3	Dedicator of cytokinesis protein 9	DOCK9	A0A088AWN3;A0A0A0MSY4;Q9BZ29-3;Q9BZ29-5;Q9BZ29;Q9BZ29-4;A0A0A0MT38;Q6ZSL5;Q9BZ29-6;H0Y3S1;A0A0D9SFH5;Q5JUD8;H7BZ79;Q5JUD3;X6RGR3	Dedicator of cytokinesis protein 9	DOCK9
A0A088AWP2	Transcriptional regulator ERG	ERG	A0A088AWP2;A0A0C4DG41;B5MDW0;A8MX39;A8MZ24;P11308-5;P11308-6;P11308-2;P11308-1;P11308-4;P11308	Transcriptional regulator ERG	ERG
A0A096LNH6	Dedicator of cytokinesis protein 1	DOCK1	A0A096LNH6;Q14185	Dedicator of cytokinesis protein 1	DOCK1
A0A096LNV3	E3 ubiquitin-protein ligase RNF114	RNF114	A0A096LNV3;A0A096LP02;Q9Y508-2;Q9Y508;A0A096LNT1;A0A096LNN8;A0A096LPF9	E3 ubiquitin-protein ligase RNF114	RNF114
A0A096LP25	Uncharacterized protein FLJ45252	AAK1	A0A096LP25;Q6ZSR9;A0A096LNZ0	Uncharacterized protein FLJ45252	AAK1
A0A096LPE2	Serum amyloid A-4 protein	SAA2-SAA4	A0A096LPE2;P35542;A0A3B3ISW8;E9PR14;G3V1D9;P0DJI9-2	Serum amyloid A-4 protein	SAA2-SAA4;SAA4
A0A096LPI6	A0A096LPI6	C21orf33	A0A096LPI6;A0A096LNH5;H7C1F6;H7C2G3;A0A096LP73;A0A2R8YDR7;A0A096LNJ1		C21orf33
A2A2L5	Protein RTF2 homolog	RTFDC1	A2A2L5;A0A0A0MQR2;Q9BY42;A2A2L6	Protein RTF2 homolog	RTFDC1
A0A0A0MQS1	Pyrroline-5-carboxylate reductase	PYCRL	A0A0A0MQS1;Q53H96;Q53H96-2;B5MD87;F8WEI0;A0A087WTU2	Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 3	PYCRL
A0A0A0MQS8	Ammonium transporter Rh type A	RHAG	A0A0A0MQS8;A0A2R8YEH1;Q02094;Q9UHG9;A0A087WZZ4;Q02094-2	Ammonium transporter Rh type A	RHAG
A0A0A0MTC7	Laminin subunit alpha-4	LAMA4	A0A0A0MTC7;A0A0A0MQS9;Q16363-2;Q16363;A0A494C139;E5RFQ2;H0Y351;H0YAQ5;H0YAP9;A0A494C1K8	Laminin subunit alpha-4	LAMA4
A0A0A0MQT0	Retinol-binding protein 1	RBP1	A0A0A0MQT0;P09455-2;P09455-3	Retinol-binding protein 1	RBP1
U3KQS6	Hepatocyte nuclear factor 1-alpha	HNF1A	U3KQS6;A0A0A0MQU7;F5H0K0;A0A0A0MTK8;P20823-3;P20823-2;P20823;P20823-7;A0A087WYP0;H0YND5;E0YMI9;P20823-5;P20823-4;P20823-6;P20823-8	Hepatocyte nuclear factor 1-alpha	HNF1A
M0QY36	A disintegrin and metalloproteinase with thrombospondin motifs 10	ADAMTS10	M0QY36;A0A0A0MQW6;Q9H324	A disintegrin and metalloproteinase with thrombospondin motifs 10	ADAMTS10
C9JP00	Muscleblind-like protein 1	MBNL1	C9JP00;A0A0A0MQX8;Q9NR56-7;Q9NR56-6;Q9NR56-2;Q9NR56-5;Q9NR56;H7C4T5;Q9NR56-3;Q9NR56-4;Q86VM6;C9J4T8;C9JCX1;H7C4Y1	Muscleblind-like protein 1	MBNL1
A0A0A0MQZ4	Protein phosphatase 1K, mitochondrial	PPM1K	A0A0A0MQZ4;Q8N3J5;V9GYI6;V9GYS8;V9GY69;V9GYZ5;Q8N3J5-3;Q8N3J5-2	Protein phosphatase 1K, mitochondrial	PPM1K
A0A0A0MR07	Proto-oncogene vav	VAV1	A0A0A0MR07;P15498;P15498-2;Q96D37	Proto-oncogene vav	VAV1
P43378	Tyrosine-protein phosphatase non-receptor type 9	PTPN9	P43378;A0A0A0MR09;H3BQT6	Tyrosine-protein phosphatase non-receptor type 9;Protein-tyrosine-phosphatase	PTPN9
A0A0A0MR49	Cytochrome P450 4F12	CYP4F12	A0A0A0MR49;Q9HCS2;F8VR75;Q9HCS2-2;K7EQI8;F8VZP1	Cytochrome P450 4F12	CYP4F12
A0A0A0MR51	Fatty acid desaturase 1	FADS1	A0A0A0MR51;O60427;F5H3P6;H0YB97;F5H3U5;H7C2V0;O60427-2	Fatty acid desaturase 1	FADS1
A0A0A0MR54	Scavenger receptor class F member 1	SCARF1	A0A0A0MR54;Q14162-2;Q14162	Scavenger receptor class F member 1	SCARF1
A0A0A0MR61	Serine protease 57	PRSS57	A0A0A0MR61;Q6UWY2	Serine protease 57	PRSS57
A0A0A0MR85	Glutathione S-transferase Mu 4	GSTM4	A0A0A0MR85;Q03013;Q03013-2;Q03013-3;A6NNT0	Glutathione S-transferase Mu 4	GSTM4
A0A0A0MR93	Metallophosphoesterase 1	MPPE1	A0A0A0MR93;Q53F39-2;Q53F39-3;Q53F39;A0A0C4DH11;K7ES91;Q53F39-4;K7ELZ7;K7EQ70;K7EQV4;Q53F39-5;K7ER13;K7ESB8;K7EJU0;K7EM03	Metallophosphoesterase 1	MPPE1
A0A0A0MRB5	MAP kinase-activating death domain protein	MADD	A0A0A0MRB5;Q8WXG6-6;Q8WXG6-8;Q8WXG6-5;Q8WXG6-4;Q8WXG6-7;Q8WXG6-3;Q8WXG6-2;Q8WXG6	MAP kinase-activating death domain protein	MADD
A0A0A0MSK4	G-protein-signaling modulator 1	GPSM1	A0A0A0MSK4;A0A0A0MRC4;Q86YR5-4;Q86YR5;A0A087WVF5;Q86YR5-3	G-protein-signaling modulator 1	GPSM1
H0YBF7	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	ASAP1	H0YBF7;A0A0A0MRE5;Q9ULH1;Q9ULH1-2;H0YBM4	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	ASAP1
A0A0A0MRF6	A-kinase anchor protein 9	AKAP9	A0A0A0MRF6;Q99996-5;Q99996;Q99996-1;Q99996-3;Q99996-6;A0A0A0MRE9;A0A087WX84;Q99996-4;H7BYL6;H7BZV6;Q6PJH3;Q8NEG4-2;Q8NEG4	A-kinase anchor protein 9	AKAP9
A0A0A0MRG8	Bcl-2 homologous antagonist/killer	BAK1	A0A0A0MRG8;Q16611-2;Q16611	Bcl-2 homologous antagonist/killer	BAK1
A0A0A0MRI2	Sorting nexin-6	SNX6	A0A0A0MRI2;Q9UNH7;Q9UNH7-2;G3V5X9;H0YJF8;G3V4Z5	Sorting nexin-6;Sorting nexin-6, N-terminally processed	SNX6
A0A0A0MRJ0	Non-specific serine/threonine protein kinase	CDC42BPA	A0A0A0MRJ0;Q5VT25-3;Q5VT25-4;Q5VT25-5;Q5VT25;Q5VT25-2;Q5VT25-6;H0Y5V1;H0Y6V3;H0Y7V8;A0A0A0MRJ1;H0Y6R0	Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha	CDC42BPA
A0A0A0MRJ6	Protein-L-isoaspartate O-methyltransferase	PCMT1	A0A0A0MRJ6;H7BY58;P22061;P22061-2;F6S8N6;A0A3F2YNX8;C9J0F2;F8WDT3;F8WAV5;F8WAX2;H7C4X2	Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase	PCMT1
A0A0A0MRJ7	Coagulation factor V	F5	A0A0A0MRJ7;P12259	Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5
A0A0A0MRJ9	Rho GTPase-activating protein 30	ARHGAP30	A0A0A0MRJ9;Q7Z6I6-2;Q7Z6I6;Q7Z6I6-4;E9PLT5;A0A0A0MRJ8;A7KAX9-3;Q7Z6I6-3;A7KAX9-2	Rho GTPase-activating protein 30	ARHGAP30
F8W8M4	Actin-binding LIM protein 1	ABLIM1	F8W8M4;A0A0A0MRL6;O14639-2;O14639-6;A0A3B3IS55;O14639;A0A494C1G0;A0A494C1P1;J3QSX6;O14639-4;O14639-3;O14639-5;H0Y7N6;F6XFR5	Actin-binding LIM protein 1	ABLIM1
A0A0A0MRL7	Caspase-7	CASP7	A0A0A0MRL7;P55210-4;P55210;P55210-3;Q5SVL2	Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11	CASP7
A0A0A0MRM9	Nucleolar and coiled-body phosphoprotein 1	NOLC1	A0A0A0MRM9;Q14978;Q14978-3;Q14978-2;S4R349;S4R402;S4R341;S4R3C2	Nucleolar and coiled-body phosphoprotein 1	NOLC1
P09234	U1 small nuclear ribonucleoprotein C	SNRPC	P09234;A0A0A0MRR7;Q5TAL2	U1 small nuclear ribonucleoprotein C	SNRPC
A0A0A0MRS8	Kinesin-like protein	KIF17	A0A0A0MRS8;Q9P2E2-3;Q9P2E2;H3BTL6	Kinesin-like protein;Kinesin-like protein KIF17	KIF17
A0A0A0MRT2	WW domain-containing adapter protein with coiled-coil	WAC	A0A0A0MRT2;Q9BTA9-5;Q9BTA9-2;Q9BTA9	WW domain-containing adapter protein with coiled-coil	WAC
Q8IZP0-9	Abl interactor 1	ABI1	Q8IZP0-9;Q8IZP0-4;Q8IZP0;Q8IZP0-6;B6VEX4;Q8IZP0-5;Q8IZP0-3;A0A0A0MRT6;Q8IZP0-2;Q8IZP0-7;Q8IZP0-8;Q8IZP0-10;Q8IZP0-12;Q8IZP0-11;E9PEZ7;F8WAL6;A0A0C4DG21;E7EP65;Q9NYB9;Q9NYB9-4;E7EW77;Q9NYB9-2;B7Z836;Q9NYB9-3;H0Y6B5	Abl interactor 1	ABI1
A0A0A0MRV2	Emopamil-binding protein-like	EBPL	A0A0A0MRV2;Q9BY08-4;Q9BY08-3;Q9BY08-5;Q9BY08-2;Q9BY08	Emopamil-binding protein-like	EBPL
Q7Z2E3	Aprataxin	APTX	Q7Z2E3;Q7Z2E3-11;A0A0A0MRW7;F8W6G5;Q7Z2E3-9;Q7Z2E3-7;Q7Z2E3-8;Q7Z2E3-3;Q7Z2E3-5;Q7Z2E3-10;Q7Z2E3-13;C9JZ40;Q7Z2E3-12;E7EUY4;Q7Z2E3-4;F8WBD6;Q7Z2E3-2;Q7Z2E3-6;C9J8U3;E7EVB7;Q6JV79;F8WBM3	Aprataxin	APTX
A0A1B0GW37	Nuclear factor 1 B-type	NFIB	A0A1B0GW37;A0A1B0GWJ4;O00712-5;O00712-4;A0A2R8Y7V8;O00712;Q5VW26;Q5VW30;Q5VW27;A0A1B0GWI9;A0A1B0GU97;A0A0A0MRX8;U3KQE8;O00712-2;Q5W0Y9;A0A087WXP2;A0A1B0GVN4;U3KPY9;A0A1B0GTC1;A0A1B0GWB8;Q5VW31;O00712-6	Nuclear factor 1 B-type;Nuclear factor 1	NFIB
A0A0A0MRY0	TBC1 domain family member 22A	TBC1D22A	A0A0A0MRY0;Q8WUA7-4;Q8WUA7;B0QYI1;Q8WUA7-2;Q8WUA7-3;F8WDP1	TBC1 domain family member 22A	TBC1D22A
E7EMV7	TNFAIP3-interacting protein 1	TNIP1	E7EMV7;A0A0A0MRZ4;Q15025-7;Q15025-8;Q15025-5;Q15025-6;Q15025-4;Q15025-3;Q15025-2;Q15025;E7EW15;H0YC17	TNFAIP3-interacting protein 1	TNIP1
A0A0A0MRZ8	Ig kappa chain V-III region VG	IGKV3D-11	A0A0A0MRZ8;P04433	Ig kappa chain V-III region VG	IGKV3D-11
A0A0A0MS09	Ig delta chain C region	IGHD	A0A0A0MS09;P01880;P01880-2	Ig delta chain C region	IGHD
A0A0A0MS14	A0A0A0MS14	IGHV1-45	A0A0A0MS14		IGHV1-45
A0A0A0MS15	A0A0A0MS15	IGHV3-49	A0A0A0MS15		IGHV3-49
Q8NHJ6-3	Leukocyte immunoglobulin-like receptor subfamily B member 4	LILRB4	Q8NHJ6-3;A0A0A0MS20;Q8NHJ6;A0A0G2JNL1;A0A0G2JPX5;A0A0G2JPU4;A0A0G2JM43;C9JST2;A0A0G2JM38;A0A0G2JMH7;A0A0G2JP25;A0A0G2JQ10;A0A0G2JML1;A0A0G2JNE9;A0A0G2JQ20;A0A0G2JPC7;A0A0G2JM84;A0A0G2JNA7;A0A0G2JP84;A0A0G2JM57;A0A0A0MSZ8;A0A0G2JPA9;A8MUE1;Q8NHJ6-2;A0A0G2JPI0	Leukocyte immunoglobulin-like receptor subfamily B member 4	LILRB4
A0A0A0MS41	Sideroflexin	SFXN3	A0A0A0MS41;A0A1P0AYU5;Q9BWM7;S4R3N9	Sideroflexin;Sideroflexin-3	SFXN3
A0A0A0MS45	Conserved oligomeric Golgi complex subunit 4	COG4	A0A0A0MS45;J3KNI1;Q9H9E3;Q9H9E3-3;Q9H9E3-2;J3KRB5;H3BMV9;H3BSD2;E9PRT5;J3QLW1;H3BQB2	Conserved oligomeric Golgi complex subunit 4	COG4
P22694-2	cAMP-dependent protein kinase catalytic subunit beta	PRKACB	P22694-2;P22694-4;A0A0A0MS54;P22694-5;P22694-6;P22694-7;P22694-9;P22694;P22694-3;A0A087WVC4;P22694-10;B1APG0;B1APG1;P22694-8;B1APG3;B1APF9;B1APF8;B1APG2;B1APF7;P22612	cAMP-dependent protein kinase catalytic subunit beta	PRKACB
A0A0A0MS59	Helicase SRCAP	SRCAP	A0A0A0MS59;A0A0C4DFX4;Q6ZRS2-3;Q6ZRS2-2;Q6ZRS2;A0A087X0E3	Helicase SRCAP	SRCAP
A0A0A0MS70	Myeloid differentiation primary response protein MyD88	MYD88	A0A0A0MS70;H0Y4G9;Q99836-5;Q99836;Q99836-6;A0A0A0MSI9;Q99836-2;A0A494C0J8;A0A3F2YP85;Q99836-3;A0A3B3ITY3;Q99836-4	Myeloid differentiation primary response protein MyD88	MYD88
A0A0A0MS74	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	PCK2	A0A0A0MS74;Q16822-2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	PCK2
A0A0A0MSA0	Laminin subunit alpha-3	LAMA3	A0A0A0MSA0;Q16787-3;Q16787;A0A3B3ITG1;A0A0A0MTS5;A0A0A6YYF2;Q16787-4;Q16787-1;A0A075B783;K7EIP4;K7ERM0	Laminin subunit alpha-3	LAMA3
A0A0A0MSA9	Poliovirus receptor	PVR	A0A0A0MSA9;A0A0C4DG49;P15151-3;P15151-2;P15151-4;P15151	Poliovirus receptor	PVR
A0A0A0MSB4	Oxysterol-binding protein	OSBP2	A0A0A0MSB4;Q6ZN50;Q969R2-6;Q969R2-3;Q969R2-2;Q969R2	Oxysterol-binding protein;Oxysterol-binding protein 2	OSBP2
A0A0A0MSB8	Exocyst complex component 7	EXOC7	A0A0A0MSB8;Q9UPT5-2;Q9UPT5-5;Q9UPT5-1;Q9UPT5-6;Q9UPT5;B4DJ07;A0A0A0MRE1;Q9UPT5-4;B5MCY9;K7ERQ5;C9JME6;C9JKC2	Exocyst complex component 7	EXOC7
A0A0A0MSD0	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	SVEP1	A0A0A0MSD0;Q4LDE5-4;Q4LDE5;Q4LDE5-2	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	SVEP1
J3KNW4	Four and a half LIM domains protein 2	FHL2	J3KNW4;A0A0A0MSG2;Q14192;C9J3S8;F8WDA8;U3KQT4;Q14192-2	Four and a half LIM domains protein 2	FHL2
B3KPJ4	Polyhomeotic-like protein 2	PHC2	B3KPJ4;A0A0A0MSI2;Q8IXK0-2;Q8IXK0-4;Q8IXK0;Q8IXK0-5;Q8IXK0-3;H7C528	Polyhomeotic-like protein 2	PHC2
O00471	Exocyst complex component 5	EXOC5	O00471;A0A0A0MSI8;F8W9B8	Exocyst complex component 5	EXOC5
A0A0A0MSJ9	Ras GTPase-activating protein 2	RASA2	A0A0A0MSJ9;Q15283-2;Q15283	Ras GTPase-activating protein 2	RASA2
A0A0A0MSK2	Protein PET100 homolog, mitochondrial	PET100	A0A0A0MSK2;P0DJ07;M0QYU6;M0R2T5;M0R022	Protein PET100 homolog, mitochondrial	PET100
A0A0A0MSK6	Rho GTPase-activating protein 5	ARHGAP5	A0A0A0MSK6;Q13017-2;Q13017;G3V360;Q13017-3;Q13017-4;G3V444	Rho GTPase-activating protein 5	ARHGAP5
A0A0A0MSN4	Angiotensin-converting enzyme	ACE	A0A0A0MSN4;P12821;P12821-2;F6X3S4;P12821-4;P12821-3;J3KTB8;J3KS28;J3QRX8;J3KTH9;J3KSQ5	Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form	ACE
A0A0A0MSS8	Aldo-keto reductase family 1 member C3	AKR1C3	A0A0A0MSS8;P42330;S4R3Z2;S4R3D5	Aldo-keto reductase family 1 member C3	AKR1C3
A0A0A0MSU4	ATP-binding cassette sub-family A member 8	ABCA8	A0A0A0MSU4;O94911-3;O94911;A0A075B774;O94911-2;H0Y4U7;Q8IUA7;K7ELK9;Q49AI9;Q8IUA7-4;Q8IUA7-3	ATP-binding cassette sub-family A member 8	ABCA8
A0A0G2JKZ1	Tapasin	TAPBP	A0A0G2JKZ1;A2AB90;A0A0G2JH37;A0A0A0MSV9;O15533;O15533-3;O15533-2;A0A0A0MT98;O15533-4;Q6P1N7;C9JA35;A0A140T9B2;A0A0G2JJI5	Tapasin	TAPBP
Q08345-5	Epithelial discoidin domain-containing receptor 1	DDR1	Q08345-5;Q08345;Q08345-6;Q08345-2;A0A0A0MSX3;A0A0G2JNZ7;A2ABL2;E7EPH4;E7EQ30;A0A0G2JIZ7;E7ERI6;E7ETI3;H0Y717;E7EPN2;A0A0G2JIA2;Q08345-4;E7EUP7	Epithelial discoidin domain-containing receptor 1	DDR1
A0A0C4DFN8	NADPH:adrenodoxin oxidoreductase, mitochondrial	FDXR	A0A0C4DFN8;A0A0A0MSZ4;A0A0A0MTR6;A0A0C4DGN7;A0A0A0MT64;A0A0A0MTN9;J3QKZ8;J3QQW7;J3KS64	NADPH:adrenodoxin oxidoreductase, mitochondrial	FDXR
